WikiData QID	parent	ML_ID	label
Q101244	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_ACRO	acronym
Q1317831		ML_CUSTOM_ACT	active (voice)
Q3734650	ML_CUSTOM_ADV	ML_CUSTOM_ADV-GR	adverb phrase
	ML_POS_PUNCT	ML_CUSTOM_CL-PUNCT	close punctuation mark
Q245423		ML_CUSTOM_COMPOUND	compound
Q474628	ML_CUSTOM_INFLEC	ML_CUSTOM_CONJUG	conjugation
Q205892		ML_CUSTOM_DATUM	date
Q82990	ML_RHETORIC_SYMBOL	ML_CUSTOM_DIG	digit
Q2704791		ML_CUSTOM_ENUM	enumeration
	ML_POS_PTCL	ML_CUSTOM_FUT-PTCL	future particle
Q1163894		ML_CUSTOM_GERMANISM	Germanism
		ML_CUSTOM_IEMAND-S	iemand(s)
Q12547192		ML_CUSTOM_IMPERF	imperfective tense
Q2517088		ML_CUSTOM_IMPERS	impersonal passive voice
Q207857		ML_CUSTOM_INFLEC	(grammatical) inflection
Q261918	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_INIT	init
Q1306636	ML_POS_DET	ML_CUSTOM_INTERR	question word
Q2825406	ML_CUSTOM_ADV	ML_CUSTOM_MULT-ADV	multiplicative adverb
	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_N-ABBR	not-breaking abbreviation
	ML_POS_PTCL	ML_CUSTOM_NEG-PTCL	negative particle
	ML_POS_PUNCT	ML_CUSTOM_OP-PUNCT	open punctuation mark
Q1194697		ML_CUSTOM_PASS	passive (voice)
Q625420		ML_CUSTOM_PERFECT	perfective tense
Q161873	ML_POS_ADP	ML_CUSTOM_POSTP	postpostion
Q103808		ML_CUSTOM_PREST	loanword
Q956030	ML_POS_PRONOUN	ML_CUSTOM_PRON-IND	indefinite pronoun
Q11003	ML_POS_PRONOUN	ML_CUSTOM_PRON-INT	interrogative pronoun
Q953129	ML_POS_PRONOUN	ML_CUSTOM_PRON-REFL	reflexive pronoun
		ML_CUSTOM_SIMP	simple
		ML_CUSTOM_SPREEK-UIT-LEES	spreek uit, lees
	ML_POS_PTCL	ML_CUSTOM_SUB-PTCL	subjunctive particle
Q177691		ML_CUSTOM_T	(grammatical) tense
Q7702742	ML_POS_PUNCT	ML_CUSTOM_TERM-PUNCT	terminal punctuation mark
Q134550		ML_CUSTOM_TRANSLIT	transliteration
Q1778442	ML_POS_VERB	ML_CUSTOM_V-GR	verb phrase
