WikiData QID	parent	ML_ID	label
Q34698		ML_POS_ADJECTIVE	adjective
Q134316		ML_POS_ADP	adposition
Q103184	ML_POS_DET	ML_POS_ART	(grammatical) article
Q2865743	ML_POS_ART	ML_POS_ART-DEF	definite article
Q3813849	ML_POS_ART	ML_POS_ART-IND	indefinite article
Q28833099	ML_POS_CONJUNCTION	ML_POS_CONJ-COORD	coordinative conjunction
	ML_POS_CONJUNCTION	ML_POS_CONJ-SUB	subordinative conjunction
Q36484		ML_POS_CONJUNCTION	conjunction
Q34793275	ML_POS_PRONOUN	ML_POS_DEMONSTRATIVE-PRONOUN	demonstrative pronoun
Q576271		ML_POS_DET	determiner
Q83034		ML_POS_INTERJ	interjection
Q1401131	ML_POS_NOUN	ML_POS_NOUN	noun
Q147101	ML_POS_NOUN	ML_POS_NOUN-COMMON	common noun
Q55951821	ML_POS_NUMERAL	ML_POS_NUMERAL-ADJECTIVAL	adjectival numeral, numeral adjective
	ML_POS_NUMERAL	ML_POS_NUMERAL-ANALOGICAL	analog numeral
Q1329258	ML_POS_NUMERAL	ML_POS_NUMERAL-CARDINAL	cardinal (numeral)
Q55093533	ML_POS_NUMERAL	ML_POS_NUMERAL-COLLECTIVE	collective (numeral)
Q110063840	ML_POS_NUMERAL	ML_POS_NUMERAL-MULTIPLICATIVE	multiplicative (numeral)
Q116843701	ML_POS_NUMERAL	ML_POS_NUMERAL-NOMINAL	nominal (numeral)
Q923933	ML_POS_NUMERAL	ML_POS_NUMERAL-ORDINAL	ordinal (numeral)
Q115526488	ML_POS_NUMERAL	ML_POS_NUMERAL-SINGULATIVE	singulative (numeral)
Q468801	ML_POS_PRONOUN	ML_POS_PERSONAL-PRONOUN	personal pronoun
Q1502460	ML_POS_PRONOUN	ML_POS_POSSESSIVE-PRONOUN	possessive pronoun
Q4833830		ML_POS_PREPOSITION	preposition
Q36224		ML_POS_PRONOUN	pronoun
Q147276	ML_POS_NOUN	ML_POS_PROPER-NOUN	proper noun
Q7884789	ML_POS_PROPER-NOUN	ML_POS_PROPER-NOUN-TOPONYM	toponym
Q184943		ML_POS_PTCL	particle
Q82622	ML_RHETORIC_SYMBOL	ML_POS_PUNCT	punctuation mark
Q1050744		ML_POS_RELATIVE-PRONOUN	relative pronoun
Q163750	ML_POS_VERB	ML_POS_VERB-AUX	auxiliary (verb)
Q814722	ML_POS_VERB	ML_POS_VERB-PTCP	participle
		ML_POS_VRAGEND-VOORNAAMWOORD	vragend voornaamwoord
Q781194		ML_POS_X	other / unclassified


	ML_POS_PTCL	ML_POS_FUT-PTCL	future particle

		ML_CUSTOM_IEMAND-S	iemand(s)
Q12547192		ML_POS_IMPERF	imperfective tense
Q2517088		ML_POS_IMPERS	impersonal passive voice
	Q1306636	ML_POS_DET	ML_CUSTOM_INTERR	question word
Q2825406	ML_CUSTOM_ADV	ML_CUSTOM_MULT-ADV	multiplicative adverb
	ML_POS_PTCL	ML_CUSTOM_NEG-PTCL	negative particle

Q1194697		ML_CUSTOM_PASS	passive (voice)
Q625420		ML_CUSTOM_PERFECT	perfective tense
Q161873	ML_POS_ADP	ML_CUSTOM_POSTP	postpostion
Q956030	ML_POS_PRONOUN	ML_POS_PRON-IND	indefinite pronoun
Q11003	ML_POS_PRONOUN	ML_POS_PRON-INT	interrogative pronoun
Q953129	ML_POS_PRONOUN	ML_POS_PRON-REFL	reflexive pronoun
		ML_CUSTOM_SIMP	simple
	ML_POS_PTCL	ML_CUSTOM_SUB-PTCL	subjunctive particle
Q177691		ML_CUSTOM_T	(grammatical) tense

Q1317831		ML_POS_ACT	active (voice)
Q3734650	ML_CUSTOM_ADV	ML_POS_ADV-GR	adverb phrase

Q1778442	ML_POS_VERB	ML_CUSTOM_V-GR	verb phrase
