WikiData QID	parent	ML_ID	label
		ML_LEX-STRUCT_ABBREVIATION	abbreviation
		ML_LEX-STRUCT_ACRONYM	acronym
		ML_LEX-STRUCT_AFKORTING	afkorting
		ML_LEX-STRUCT_ALTERNATIVE-FORM	alternative form
		ML_LEX-STRUCT_BIJVOORBEELD	bijvoorbeeld
Q187931	ML_LEX-STRUCT_MULTIWORD-EXPRESSION	ML_LEX-STRUCT_EXPRESSION	expression
		ML_LEX-STRUCT_IDEM-GELIJK-WOORD-OF-GELIJKE-UITDRUKKING	idem, gelijk woord of gelijke uitdrukking
Q5551966		ML_LEX-STRUCT_MULTIWORD-EXPRESSION	multi-word expression
Q6935164	ML_LEX-STRUCT_MULTIWORD-EXPRESSION	ML_LEX-STRUCT_PHRASE	phraseme
Q35102	ML_LEX-STRUCT_SENTENCE	ML_LEX-STRUCT_PROVERB	proverb
Q41796		ML_LEX-STRUCT_SENTENCE	sentence
Q189756	ML_LEX-STRUCT_SENTENCE	ML_LEX-STRUCT_SENTENCE-INTERROGATIVE	question
